length, start, end
2, Atlanta, Charleston
5, Atlanta, Miami
1, Atlanta, Nashville
4, Atlanta, New Orleans
2, Atlanta, Raleigh
2, Boston, Montreal
2, Boston, New York
4, Calgary, Helena
4, Calgary, Seattle
6, Calgary, Winnipeg
3, Calgary, Vancouver
4, Charleston, Miami
2, Charleston, Raleigh
3, Chicago, Duluth
4, Chicago, Omaha
3, Chicago, Pittsburgh
2, Chicago, Saint Louis
4, Chicago, Toronto
4, Dallas, El Paso
2, Dallas, Houston
2, Dallas, Little Rock
2, Dallas, Oklahoma City
4, Denver, Helena
4, Denver, Kansas City
4, Denver, Oklahoma City
4, Denver, Omaha
5, Denver, Phoenix
3, Denver, Salt Lake City
2, Denver, Santa Fe
6, Duluth, Helena
2, Duluth, Omaha
3, Duluth, Sault St. Marie
6, Duluth, Toronto
4, Duluth, Winnipeg
6, El Paso, Houston
6, El Paso, Los Angeles
5, El Paso, Oklahoma City
3, El Paso, Phoenix
2, El Paso, Santa Fe
5, Helena, Omaha
3, Helena, Salt Lake City
6, Helena, Seattle
4, Helena, Winnipeg
2, Houston, New Orleans
2, Kansas City, Oklahoma City
1, Kansas City, Omaha
2, Kansas City, Saint Louis
2, Las Vegas, Los Angeles
3, Las Vegas, Salt Lake City
2, Little Rock, Oklahoma City
3, Little Rock, Nashville
3, Little Rock, New Orleans
2, Little Rock, Saint Louis
3, Los Angeles, Phoenix
3, Los Angeles, San Francisco
6, Miami, New Orleans
3, Montreal, New York
5, Montreal, Sault St. Marie
3, Montreal, Toronto
2, Nashville, Saint Louis
3, Nashville, Raleigh
4, Nashville, Pittsburgh
2, New York, Pittsburgh
2, New York, Washington
3, Oklahoma City, Santa Fe
3, Phoenix, Santa Fe
2, Pittsburgh, Raleigh
2, Pittsburgh, Toronto
2, Pittsburgh, Washington
6, Portland, Salt Lake City
5, Portland, San Francisco
1, Portland, Seattle
2, Raleigh, Washington
5, Saint Louis, Pittsburgh
5, Salt Lake City, San Francisco
2, Sault St. Marie, Toronto
6, Sault St. Marie, Winnipeg
1, Seattle, Vancouver
